Linux 4.4.0-53-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

01:52:51 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:52:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:52:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:52:54 AM     all     12.58      0.00      3.14      0.00      0.00     84.28
01:52:55 AM     all      4.88      0.00      7.76      0.00      0.00     87.36
01:52:56 AM     all      3.75      0.00      8.88      0.00      0.00     87.38
01:52:57 AM     all      4.00      0.00      8.62      0.00      0.00     87.38
01:52:58 AM     all      3.00      0.00      9.51      0.00      0.00     87.48
01:52:59 AM     all     16.22      0.00      9.58      0.00      0.00     74.20
01:53:00 AM     all     26.61      0.00     12.35      0.14      0.27     60.63
01:53:01 AM     all     37.02      0.00     11.74      0.28      0.28     50.69
01:53:02 AM     all     57.59      0.00     13.14      0.54      0.27     28.46
01:53:03 AM     all     32.26      0.00     11.50      0.14      0.42     55.68
01:53:04 AM     all     17.80      0.00      7.49      0.42      0.28     74.01
01:53:05 AM     all     14.47      0.00      1.70      0.28      0.28     83.26
01:53:06 AM     all     12.71      0.00      2.54      0.14      0.42     84.18
01:53:07 AM     all     12.73      0.00      2.29      0.29      0.29     84.41
01:53:08 AM     all     14.00      0.00      1.56      0.42      0.42     83.59
01:53:09 AM     all     13.72      0.00      1.70      0.14      0.42     84.02
01:53:10 AM     all     14.06      0.00      1.70      0.14      0.28     83.81
01:53:11 AM     all     12.96      0.00      2.14      0.43      0.28     84.19
01:53:12 AM     all     12.98      0.00      1.43      0.43      0.29     84.88
01:53:13 AM     all     13.39      0.00      1.42      0.28      0.28     84.62
01:53:14 AM     all     13.03      0.00      1.98      0.28      0.57     84.14
01:53:15 AM     all     12.96      0.00      1.85      0.28      0.28     84.62
01:53:16 AM     all     12.66      0.00      2.13      0.28      0.28     84.64
01:53:17 AM     all     13.98      0.00      1.57      0.14      0.43     83.88
01:53:18 AM     all     13.11      0.00      1.57      0.57      0.14     84.62
01:53:19 AM     all     12.80      0.00      1.85      0.43      0.43     84.50
01:53:20 AM     all     13.35      0.00      1.70      0.28      0.43     84.23
01:53:21 AM     all     13.03      0.00      1.98      0.57      0.28     84.14
01:53:22 AM     all     13.27      0.00      1.57      0.43      0.29     84.45
01:53:23 AM     all     13.35      0.00      1.70      0.43      0.43     84.09
01:53:24 AM     all     13.60      0.00      1.56      0.57      0.42     83.85
01:53:25 AM     all     12.75      0.00      1.43      0.43      0.14     85.24
01:53:26 AM     all     12.48      0.00      2.27      0.28      0.43     84.54
01:53:27 AM     all     13.33      0.00      2.13      0.57      0.28     83.69
01:53:28 AM     all     12.73      0.00      2.40      0.57      0.28     84.02
01:53:29 AM     all     12.77      0.00      2.13      0.14      0.43     84.54
01:53:30 AM     all     11.69      0.00      1.69      3.24      0.28     83.10
01:53:31 AM     all      4.90      0.00      1.06     12.85      0.13     81.06
01:53:32 AM     all      2.97      0.00      0.52     13.55      0.26     82.71
01:53:33 AM     all      2.57      0.00      0.51     12.58      0.00     84.34
01:53:34 AM     all      3.70      0.00      0.13     12.52      0.13     83.52
01:53:35 AM     all      4.20      0.00      1.18     16.14      0.13     78.35
01:53:36 AM     all      0.63      0.00      0.00     24.49      0.13     74.75
01:53:37 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
01:53:38 AM     all      0.00      0.00      0.00     12.28      0.13     87.59
01:53:39 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
01:53:40 AM     all      0.00      0.00      0.00     12.30      0.00     87.70
01:53:41 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
01:53:42 AM     all      0.00      0.00      0.00     16.44      0.13     83.44
01:53:43 AM     all      0.00      0.00      0.00     19.50      0.00     80.50
01:53:44 AM     all      0.00      0.00      0.00     12.31      0.00     87.69
01:53:45 AM     all      0.00      0.00      0.13     12.16      0.13     87.59
01:53:46 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
01:53:47 AM     all      0.13      0.00      0.00     12.17      0.00     87.70
01:53:48 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
01:53:49 AM     all      0.00      0.00      0.13     12.16      0.13     87.59
01:53:50 AM     all      0.00      0.00      0.00     12.30      0.00     87.70
01:53:51 AM     all      2.31      0.00      0.51     14.89      0.13     82.16
01:53:52 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
01:53:53 AM     all      0.00      0.00      0.13     12.17      0.00     87.70
01:53:54 AM     all      0.88      0.00      0.00     12.27      0.13     86.73
01:53:55 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
01:53:56 AM     all      1.14      0.00      0.13     13.43      0.13     85.17
01:53:57 AM     all      1.66      0.00      0.00     20.59      0.00     77.75
01:53:58 AM     all      2.98      0.00      0.52     13.08      0.13     83.29
01:53:59 AM     all     10.82      0.00      1.80      5.41      0.14     81.83
01:54:00 AM     all     17.37      0.00      1.98      0.56      0.42     79.66
01:54:01 AM     all     12.96      0.00      1.85      0.43      0.28     84.47
01:54:02 AM     all     13.46      0.00      1.42      0.42      0.42     84.28
01:54:03 AM     all     13.43      0.00      1.57      0.57      0.29     84.14
01:54:04 AM     all     12.32      0.00      2.83      0.14      0.42     84.28
01:54:05 AM     all     13.04      0.00      1.58      0.14      0.29     84.96
01:54:06 AM     all     13.41      0.00      1.71      0.43      0.43     84.02
01:54:07 AM     all     12.94      0.00      1.99      0.28      0.28     84.50
01:54:08 AM     all     12.94      0.00      1.71      0.43      0.28     84.64
01:54:09 AM     all     13.49      0.00      2.27      3.12      0.43     80.68
01:54:10 AM     all     12.77      0.00      1.70      0.28      0.14     85.11
01:54:11 AM     all     12.39      0.00      2.56      0.28      0.43     84.33
01:54:12 AM     all     13.31      0.00      1.70      0.42      0.28     84.28
01:54:13 AM     all     21.44      0.00      2.26      0.14      0.42     75.74
01:54:14 AM     all     12.86      0.00      2.00      0.29      0.43     84.43
01:54:15 AM     all     12.46      0.00      2.12      0.57      0.28     84.56
01:54:16 AM     all     12.93      0.00      1.85      0.71      0.43     84.09
01:54:17 AM     all     12.43      0.00      2.29      0.29      0.14     84.86
01:54:18 AM     all     13.21      0.00      1.42      0.28      0.43     84.66
01:54:19 AM     all     13.11      0.00      1.71      0.43      0.43     84.33
01:54:20 AM     all     12.48      0.00      2.27      0.28      0.43     84.54
01:54:21 AM     all     12.91      0.00      2.41      0.43      0.28     83.97
01:54:22 AM     all     12.94      0.00      1.85      0.14      0.28     84.78
01:54:23 AM     all     12.64      0.00      1.99      0.57      0.28     84.52
01:54:24 AM     all      9.41      0.00      2.18      6.41      0.55     81.45
01:54:25 AM     all      3.53      0.00      0.79     12.43      0.00     83.25
01:54:26 AM     all      2.31      0.00      0.77     12.58      0.13     84.21
01:54:27 AM     all      2.32      0.00      0.52     13.02      0.13     84.02
01:54:28 AM     all      0.25      0.00      0.13     12.56      0.13     86.93
01:54:29 AM     all      4.87      0.00      0.92     13.55      0.13     80.53
01:54:30 AM     all      2.32      0.00      0.51     13.00      0.13     84.04
01:54:31 AM     all      2.58      0.00      0.26     12.63      0.00     84.54
01:54:32 AM     all      2.44      0.00      0.51     13.35      0.13     83.57
01:54:33 AM     all      3.65      0.00      0.91     12.89      0.13     82.42
01:54:34 AM     all      3.90      0.00      0.39     13.26      0.13     82.31
01:54:35 AM     all      1.15      0.00      0.38     13.49      0.00     84.99
01:54:36 AM     all      2.31      0.00      0.77     15.40      0.13     81.39
01:54:37 AM     all      0.00      0.00      0.13     16.27      0.13     83.48
01:54:38 AM     all      0.00      0.00      0.00     12.30      0.00     87.70
01:54:39 AM     all      0.00      0.00      0.13     12.28      0.00     87.59
01:54:40 AM     all      0.13      0.00      0.00     12.16      0.13     87.59
01:54:41 AM     all      0.00      0.00      0.00     12.28      0.00     87.72
01:54:42 AM     all      0.00      0.00      0.00     12.17      0.13     87.70
01:54:43 AM     all      0.13      0.00      0.00     12.28      0.00     87.59
01:54:44 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
01:54:45 AM     all      1.40      0.00      0.13     14.85      0.13     83.50
01:54:46 AM     all      0.00      0.00      0.00     12.31      0.00     87.69
01:54:47 AM     all      0.00      0.00      0.00     12.17      0.00     87.83
