Linux 4.4.0-53-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

03:58:20 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:58:21 AM     all      0.12      0.00      0.00      0.00      0.00     99.88
03:58:22 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
03:58:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:58:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:58:25 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
03:58:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:58:27 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
03:58:28 AM     all     12.59      0.00      2.39      0.00      0.00     85.01
03:58:29 AM     all      3.62      0.00      9.25      0.00      0.00     87.12
03:58:30 AM     all      3.87      0.00      8.74      0.00      0.00     87.39
03:58:31 AM     all      5.01      0.00      7.63      0.00      0.00     87.36
03:58:32 AM     all      4.26      0.00      8.15      0.00      0.00     87.59
03:58:33 AM     all     12.44      0.00      9.14      0.00      0.00     78.43
03:58:34 AM     all     31.41      0.00     11.80      0.27      0.41     56.10
03:58:35 AM     all     46.52      0.00     11.73      0.27      0.27     41.20
03:58:36 AM     all     57.35      0.00     13.77      0.13      0.13     28.61
03:58:37 AM     all     31.45      0.00     11.57      0.28      0.28     56.42
03:58:38 AM     all     17.45      0.00      8.86      3.19      0.28     70.22
03:58:39 AM     all     19.41      0.00      2.25      0.28      0.28     77.78
03:58:40 AM     all     13.07      0.00      2.13      0.28      0.43     84.09
03:58:41 AM     all     13.48      0.00      2.39      0.14      0.28     83.71
03:58:42 AM     all      9.41      0.00      1.24      8.58      0.28     80.50
03:58:43 AM     all      0.00      0.00      0.00     12.28      0.13     87.59
03:58:44 AM     all      2.32      0.00      0.39     15.96      0.13     81.21
03:58:45 AM     all      0.00      0.00      0.00     24.50      0.13     75.38
03:58:46 AM     all      0.00      0.00      0.00     12.56      0.00     87.44
03:58:47 AM     all      1.02      0.00      0.38     14.87      0.13     83.61
03:58:48 AM     all      0.25      0.00      0.00     12.16      0.13     87.47
03:58:49 AM     all      9.75      0.00      2.37      9.47      0.28     78.13
03:58:50 AM     all     13.56      0.00      2.12      0.56      0.28     83.47
03:58:51 AM     all     12.43      0.00      2.40      0.42      0.28     84.46
03:58:52 AM     all     12.48      0.00      2.13      0.43      0.28     84.68
03:58:53 AM     all     12.61      0.00      1.98      0.28      0.28     84.84
03:58:54 AM     all     12.31      0.00      2.12      0.57      0.57     84.44
03:58:55 AM     all     11.91      0.00      2.70      0.28      0.14     84.96
03:58:56 AM     all     12.71      0.00      2.26      0.42      0.14     84.46
03:58:57 AM     all     12.69      0.00      1.69      0.42      0.56     84.63
03:58:58 AM     all     13.98      0.00      1.55      0.42      0.56     83.47
03:58:59 AM     all     12.01      0.00      3.11      0.42      0.28     84.18
03:59:00 AM     all     12.78      0.00      1.99      0.43      0.43     84.38
03:59:01 AM     all     13.21      0.00      1.70      0.43      0.28     84.38
03:59:02 AM     all     13.25      0.00      1.57      0.28      0.43     84.47
