Linux 4.4.0-53-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

12:29:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:29:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:29:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:29:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:29:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:29:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:29:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:29:40 PM     all     11.89      0.00      2.88      0.00      0.00     85.23
12:29:41 PM     all      4.13      0.00      8.64      0.00      0.00     87.23
12:29:42 PM     all      4.01      0.00      8.64      0.00      0.00     87.36
12:29:43 PM     all      3.62      0.00      8.99      0.00      0.12     87.27
12:29:44 PM     all      4.01      0.00      8.51      0.00      0.00     87.48
12:29:45 PM     all     11.80      0.00      9.01      0.13      0.00     79.06
12:29:46 PM     all     31.47      0.00     11.99      0.14      0.27     56.13
12:29:47 PM     all     49.26      0.00     12.86      0.27      0.27     37.35
12:29:48 PM     all     54.26      0.00     11.81      0.14      0.27     33.52
12:29:49 PM     all     45.78      0.00     13.35      0.41      0.27     40.19
12:29:50 PM     all     20.42      0.00      8.59      0.28      0.28     70.42
12:29:51 PM     all     14.65      0.00      2.25      0.28      0.28     82.54
12:29:52 PM     all     13.32      0.00      2.66      1.96      0.42     81.63
12:29:53 PM     all      5.44      0.00      0.93     12.73      0.40     80.50
12:29:54 PM     all      0.00      0.00      0.00     12.19      0.00     87.81
12:29:55 PM     all      1.27      0.00      0.25     12.67      0.13     85.68
12:29:56 PM     all      5.14      0.00      1.05      7.38      0.00     86.43
12:29:57 PM     all     12.18      0.00      2.41      0.28      0.42     84.70
12:29:58 PM     all     13.25      0.00      1.28      0.28      0.14     85.04
12:29:59 PM     all     12.41      0.00      2.54      0.56      0.71     83.78
12:30:00 PM     all     13.12      0.00      2.26      0.42      0.28     83.92
12:30:01 PM     all     13.37      0.00      1.85      0.28      0.28     84.21
12:30:02 PM     all     13.14      0.00      1.69      0.28      0.42     84.46
12:30:03 PM     all     12.18      0.00      2.55      0.42      0.28     84.56
12:30:04 PM     all     13.14      0.00      1.69      0.28      0.42     84.46
12:30:05 PM     all     13.03      0.00      1.56      0.28      0.28     84.84
12:30:06 PM     all     12.29      0.00      2.26      1.13      0.42     83.90
12:30:07 PM     all     12.64      0.00      2.13      0.14      0.28     84.80
12:30:08 PM     all     12.59      0.00      1.84      0.28      0.42     84.87
12:30:09 PM     all     12.68      0.00      1.71      0.28      0.28     85.04
12:30:10 PM     all     12.77      0.00      1.84      0.57      0.43     84.40
12:30:11 PM     all     12.86      0.00      1.57      0.14      0.43     85.00
12:30:12 PM     all     13.64      0.00      1.56      0.43      0.28     84.09
12:30:13 PM     all     13.02      0.00      1.57      0.14      0.57     84.69
12:30:14 PM     all     12.64      0.00      2.27      0.28      0.28     84.52
12:30:15 PM     all     13.14      0.00      1.57      0.29      0.29     84.71
12:30:16 PM     all      8.68      0.00      1.22      5.56      0.41     84.12
12:30:17 PM     all      0.00      0.00      0.00     12.06      0.13     87.81
12:30:18 PM     all      0.00      0.00      0.00     12.55      0.00     87.45
12:30:19 PM     all      2.44      0.00      0.39     12.45      0.26     84.47
12:30:20 PM     all      0.13      0.00      0.00     12.30      0.00     87.58
12:30:21 PM     all      0.00      0.00      0.00     12.20      0.00     87.80
12:30:22 PM     all      0.00      0.00      0.00     12.27      0.13     87.61
12:30:23 PM     all      1.27      0.00      0.25     12.96      0.00     85.51
12:30:24 PM     all      2.44      0.00      0.13     12.60      0.13     84.70
12:30:25 PM     all      4.87      0.00      0.79     13.82      0.26     80.26
12:30:26 PM     all      1.27      0.00      0.13     12.93      0.13     85.55
12:30:27 PM     all      3.13      0.00      0.78     12.65      0.13     83.31
12:30:28 PM     all      2.44      0.00      0.64     12.60      0.13     84.19
12:30:29 PM     all      3.52      0.00      0.52     13.04      0.13     82.79
12:30:30 PM     all      2.82      0.00      0.26     12.55      0.13     84.25
12:30:31 PM     all      6.68      0.00      1.20      6.41      0.27     85.45
12:30:32 PM     all     12.04      0.00      2.41      0.42      0.28     84.84
12:30:33 PM     all     12.83      0.00      1.69      0.14      0.28     85.05
12:30:34 PM     all     12.84      0.00      1.71      0.29      0.14     85.02
12:30:35 PM     all     12.08      0.00      2.81      0.56      0.56     83.99
12:30:36 PM     all     12.57      0.00      1.98      0.42      0.42     84.60
12:30:37 PM     all     12.15      0.00      2.40      0.28      0.42     84.75
12:30:38 PM     all     13.27      0.00      1.85      0.14      0.43     84.31
12:30:39 PM     all     12.20      0.00      2.27      0.28      0.28     84.96
12:30:40 PM     all     13.70      0.00      2.82      0.14      0.42     82.91
12:30:41 PM     all     12.34      0.00      2.55      1.13      0.43     83.55
12:30:42 PM     all     12.77      0.00      2.13      0.43      0.28     84.40
