Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

02:21:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:21:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:11 PM     all     11.93      0.00      1.88      0.00      0.00     86.18
02:21:12 PM     all      3.88      0.00      9.01      0.00      0.00     87.11
02:21:13 PM     all      4.38      0.00      8.14      0.00      0.00     87.48
02:21:14 PM     all      3.75      0.00      8.76      0.00      0.00     87.48
02:21:15 PM     all      4.13      0.00      8.51      0.00      0.00     87.36
02:21:16 PM     all      8.62      0.00      8.75      0.00      0.00     82.64
02:21:17 PM     all     35.37      0.00     12.79      0.41      0.27     51.16
02:21:18 PM     all     57.92      0.00     11.07      0.14      0.27     30.60
02:21:19 PM     all     40.85      0.00     11.97      0.28      0.14     46.76
02:21:20 PM     all     19.83      0.00     10.89      0.56      0.42     68.30
02:21:21 PM     all     41.83      0.00      9.70      0.28      0.28     47.92
02:21:22 PM     all     20.79      0.00      2.67      0.28      0.56     75.70
02:21:23 PM     all     12.50      0.00      1.99      0.28      0.28     84.94
02:21:24 PM     all     12.71      0.00      2.26      0.28      0.42     84.32
02:21:25 PM     all     12.59      0.00      2.12      0.28      0.42     84.58
02:21:26 PM     all     12.29      0.00      2.40      0.14      0.42     84.75
02:21:27 PM     all     12.25      0.00      1.99      0.28      0.43     85.04
02:21:28 PM     all     13.58      0.00      2.12      0.28      0.28     83.73
02:21:29 PM     all     12.94      0.00      1.56      0.14      0.43     84.92
02:21:30 PM     all     12.62      0.00      2.13      0.28      0.43     84.54
02:21:31 PM     all     12.45      0.00      2.12      0.28      0.42     84.72
02:21:32 PM     all     12.32      0.00      2.12      0.14      0.28     85.13
02:21:33 PM     all     12.78      0.00      1.99      0.14      0.43     84.66
02:21:34 PM     all     12.25      0.00      2.25      0.28      0.56     84.65
02:21:35 PM     all     12.89      0.00      2.12      2.97      0.42     81.59
02:21:36 PM     all      1.41      0.00      0.64     12.20      0.13     85.62
02:21:37 PM     all      0.00      0.00      0.00     12.17      0.00     87.83
02:21:38 PM     all     12.15      0.00      1.84      0.85      0.28     84.89
02:21:39 PM     all     13.08      0.00      1.83      0.42      0.70     83.97
02:21:40 PM     all     12.46      0.00      2.27      0.14      0.28     84.84
02:21:41 PM     all     12.22      0.00      2.53      0.14      0.28     84.83
02:21:42 PM     all     13.18      0.00      2.24      0.28      0.42     83.87
02:21:43 PM     all     11.92      0.00      2.66      0.42      0.42     84.57
02:21:44 PM     all     11.77      0.00      2.55      0.43      0.28     84.96
02:21:45 PM     all     12.31      0.00      1.84      0.42      0.28     85.15
02:21:46 PM     all     12.78      0.00      1.97      0.14      0.56     84.55
02:21:47 PM     all     12.71      0.00      1.69      0.14      0.42     85.03
02:21:48 PM     all     12.43      0.00      2.12      0.42      0.28     84.75
02:21:49 PM     all      6.30      0.00      0.80      6.57      0.27     86.06
02:21:50 PM     all      6.74      0.00      1.48     12.94      0.40     78.44
02:21:51 PM     all     12.64      0.00      1.85      0.28      0.43     84.80
02:21:52 PM     all     12.66      0.00      1.71      0.28      0.28     85.06
02:21:53 PM     all     13.72      0.00      1.98      0.14      0.42     83.73
02:21:54 PM     all     12.54      0.00      1.71      0.14      0.28     85.33
02:21:55 PM     all     12.46      0.00      1.70      0.42      0.42     84.99
02:21:56 PM     all     12.34      0.00      1.99      0.28      0.43     84.96
02:21:57 PM     all     13.74      0.00      1.98      0.00      0.42     83.85
02:21:58 PM     all     13.28      0.00      1.69      0.28      0.42     84.32
02:21:59 PM     all     12.57      0.00      1.98      0.28      0.42     84.75
02:22:00 PM     all     12.32      0.00      1.98      0.28      0.42     84.99
02:22:01 PM     all     12.06      0.00      2.27      0.28      0.43     84.96
02:22:02 PM     all     12.66      0.00      1.71      0.14      0.28     85.21
02:22:03 PM     all     11.61      0.00      2.69      0.28      0.57     84.84
02:22:04 PM     all     12.38      0.00      2.13      0.14      0.28     85.06
02:22:05 PM     all     12.29      0.00      2.12      0.28      0.42     84.89
02:22:06 PM     all     12.11      0.00      1.99      0.28      0.28     85.33
02:22:07 PM     all     12.45      0.00      1.98      0.28      0.42     84.87
02:22:08 PM     all     13.03      0.00      1.42      0.14      0.57     84.84
02:22:09 PM     all     12.62      0.00      1.70      0.28      0.28     85.11
02:22:10 PM     all     12.91      0.00      1.70      0.14      0.43     84.82
02:22:11 PM     all     12.50      0.00      1.85      0.28      0.43     84.94
02:22:12 PM     all     12.31      0.00      2.12      0.28      0.42     84.87
