Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

04:13:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:13:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:13:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:13:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:13:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:13:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47 PM     all     10.33      0.00      0.63      0.00      0.00     89.04
04:13:48 PM     all      3.88      0.00      9.02      0.00      0.00     87.09
04:13:49 PM     all      3.75      0.00      8.76      0.00      0.00     87.48
04:13:50 PM     all      4.38      0.00      8.14      0.00      0.00     87.48
04:13:51 PM     all      4.26      0.00      8.27      0.00      0.00     87.47
04:13:52 PM     all      3.88      0.00      8.89      0.00      0.00     87.23
04:13:53 PM     all     36.98      0.00     10.80      0.00      0.13     52.09
04:13:54 PM     all     51.57      0.00     11.73      0.00      0.41     36.29
04:13:55 PM     all     19.37      0.00     11.68      0.00      0.41     68.54
04:13:56 PM     all     17.80      0.00     11.27      0.00      0.28     70.65
04:13:57 PM     all     18.83      0.00     10.74      0.00      0.42     70.01
04:13:58 PM     all     14.11      0.00      2.63      0.14      0.14     82.99
04:13:59 PM     all     12.64      0.00      1.67      0.00      0.42     85.28
04:14:00 PM     all     11.87      0.00      2.51      0.00      0.28     85.34
04:14:01 PM     all     13.11      0.00      1.81      0.00      0.56     84.52
04:14:02 PM     all     12.55      0.00      1.95      0.00      0.28     85.22
04:14:03 PM     all     12.55      0.00      2.09      0.00      0.42     84.94
04:14:04 PM     all     12.18      0.00      1.96      0.00      0.28     85.57
04:14:05 PM     all     12.04      0.00      1.96      0.00      0.56     85.43
04:14:06 PM     all     12.83      0.00      2.23      0.00      0.28     84.66
04:14:07 PM     all     12.29      0.00      1.82      0.00      0.56     85.34
04:14:08 PM     all     12.73      0.00      1.26      0.14      0.28     85.59
04:14:09 PM     all     11.76      0.00      2.38      0.00      0.42     85.43
04:14:10 PM     all     12.31      0.00      1.82      0.00      0.28     85.59
04:14:11 PM     all     13.37      0.00      2.65      0.00      0.70     83.29
04:14:12 PM     all     12.45      0.00      1.82      0.00      0.14     85.59
04:14:13 PM     all     12.31      0.00      1.68      0.00      0.56     85.45
04:14:14 PM     all     13.66      0.00      2.21      0.00      0.41     83.72
04:14:15 PM     all     12.15      0.00      1.68      0.00      0.42     85.75
04:14:16 PM     all     12.43      0.00      2.23      0.00      0.14     85.20
04:14:17 PM     all     12.01      0.00      2.09      0.00      0.42     85.47
04:14:18 PM     all     12.53      0.00      1.81      0.00      0.42     85.24
04:14:19 PM     all     12.15      0.00      1.96      0.00      0.70     85.20
04:14:20 PM     all     12.64      0.00      1.83      0.00      0.00     85.53
04:14:21 PM     all     12.40      0.00      2.09      0.00      0.56     84.96
04:14:22 PM     all     12.41      0.00      1.95      0.00      0.42     85.22
04:14:23 PM     all     12.15      0.00      1.96      0.00      0.42     85.47
04:14:24 PM     all     12.06      0.00      1.96      0.00      0.14     85.83
04:14:25 PM     all     11.96      0.00      2.23      0.00      0.56     85.26
04:14:26 PM     all     12.89      0.00      1.54      0.00      0.42     85.15
04:14:27 PM     all     12.43      0.00      1.96      0.00      0.42     85.20
04:14:28 PM     all     11.75      0.00      2.24      0.00      0.42     85.59
04:14:29 PM     all     11.99      0.00      2.23      0.00      0.56     85.22
04:14:30 PM     all     11.48      0.00      2.52      0.00      0.14     85.85
04:14:31 PM     all     12.01      0.00      2.37      0.00      0.56     85.06
04:14:32 PM     all     12.08      0.00      1.94      0.00      0.56     85.42
04:14:33 PM     all     11.61      0.00      2.52      0.00      0.28     85.59
04:14:34 PM     all     12.43      0.00      2.09      0.00      0.28     85.20
04:14:35 PM     all     11.61      0.00      2.38      0.00      0.42     85.59
04:14:36 PM     all     12.41      0.00      2.09      0.00      0.28     85.22
04:14:37 PM     all     11.87      0.00      2.23      0.00      0.42     85.47
04:14:38 PM     all     11.56      0.00      2.37      0.00      0.14     85.93
04:14:39 PM     all     12.88      0.00      2.22      0.00      0.69     84.21
