Linux 4.4.0-53-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

02:33:50 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:33:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:33:52 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
02:33:53 AM     all      0.12      0.00      0.00      0.00      0.00     99.88
02:33:54 AM     all     12.96      0.00      5.16      0.00      0.00     81.89
02:33:55 AM     all      3.63      0.00      8.89      0.00      0.00     87.48
02:33:56 AM     all      4.00      0.00      8.62      0.00      0.00     87.38
02:33:57 AM     all      4.14      0.00      8.40      0.00      0.00     87.47
02:33:58 AM     all      3.75      0.00      9.00      0.00      0.00     87.25
02:33:59 AM     all     23.72      0.00     10.51      0.13      0.13     65.51
02:34:00 AM     all     34.50      0.00     17.51      0.65      0.13     47.21
02:34:01 AM     all     30.37      0.00     16.31      0.40      0.13     52.79
02:34:02 AM     all     43.88      0.00     14.40      0.40      0.40     40.92
02:34:03 AM     all     62.80      0.00     17.02      7.52      0.13     12.53
02:34:04 AM     all     32.12      0.00      9.68     15.05      0.27     42.88
02:34:05 AM     all     11.17      0.00      4.41     24.14      0.14     60.14
02:34:06 AM     all     11.17      0.00      1.68     17.04      0.28     69.83
02:34:07 AM     all     10.07      0.00      1.66     18.90      0.28     69.10
02:34:08 AM     all     11.08      0.00      1.96     18.65      0.14     68.16
02:34:09 AM     all     12.97      0.00      3.21     12.55      0.28     70.99
02:34:10 AM     all     14.37      0.00      1.71      0.57      0.43     82.93
02:34:11 AM     all     15.24      0.00      2.28      0.28      0.28     81.91
02:34:12 AM     all     15.91      0.00      2.41      0.85      0.14     80.68
02:34:13 AM     all     15.22      0.00      2.99      0.43      0.57     80.80
02:34:14 AM     all     15.90      0.00      1.86      0.72      0.14     81.38
02:34:15 AM     all     15.74      0.00      2.98      0.57      0.43     80.28
02:34:16 AM     all     15.10      0.00      2.71      0.85      0.43     80.91
02:34:17 AM     all     16.57      0.00      2.29      0.43      0.14     80.57
02:34:18 AM     all     15.13      0.00      2.69      0.42      0.42     81.33
02:34:19 AM     all     15.68      0.00      2.68      0.56      0.14     80.93
02:34:20 AM     all     16.95      0.00      3.25      0.85      0.56     78.39
02:34:21 AM     all     13.81      0.00      2.45      0.58      0.29     82.88
02:34:22 AM     all     14.94      0.00      2.30      0.86      0.14     81.75
02:34:23 AM     all     15.35      0.00      3.30      0.57      0.29     80.49
02:34:24 AM     all     16.62      0.00      2.58      0.57      0.43     79.80
02:34:25 AM     all     16.55      0.00      4.92      0.55      0.27     77.70
02:34:26 AM     all     15.84      0.00      3.39      0.71      0.28     79.77
02:34:27 AM     all     16.52      0.00      3.42      1.00      0.43     78.63
02:34:28 AM     all     16.24      0.00      2.59      0.57      0.29     80.32
02:34:29 AM     all     16.34      0.00      2.27      0.57      0.43     80.40
02:34:30 AM     all     16.98      0.00      2.85      3.71      0.29     76.18
02:34:31 AM     all     14.35      0.00      3.34     17.55      0.28     64.48
02:34:32 AM     all     11.05      0.00      2.66     15.94      0.28     70.07
02:34:33 AM     all     15.02      0.00      3.48     16.27      0.28     64.95
02:34:34 AM     all     10.62      0.00      2.88     13.11      0.00     73.39
02:34:35 AM     all      4.66      0.00      1.17     12.31      0.26     81.61
02:34:36 AM     all     12.27      0.00      2.09      2.93      0.14     82.57
02:34:37 AM     all     15.86      0.00      2.71      0.57      0.29     80.57
02:34:38 AM     all     16.00      0.00      2.86      0.71      0.29     80.14
02:34:39 AM     all     16.12      0.00      2.71      0.71      0.29     80.17
02:34:40 AM     all     16.45      0.00      3.26      0.71      0.28     79.29
02:34:41 AM     all      7.39      0.00      1.50     11.22      0.27     79.62
02:34:42 AM     all      6.01      0.00      1.57     12.92      0.13     79.37
02:34:43 AM     all     12.13      0.00      1.67      4.32      0.14     81.73
02:34:44 AM     all     15.02      0.00      3.00      0.29      0.43     81.26
02:34:45 AM     all     16.12      0.00      3.54      0.57      0.28     79.49
02:34:46 AM     all     16.36      0.00      2.99      0.85      0.14     79.66
02:34:47 AM     all     15.71      0.00      3.00      0.43      0.43     80.43
02:34:48 AM     all     15.98      0.00      3.14      0.71      0.14     80.03
02:34:49 AM     all     16.45      0.00      3.26      0.57      0.43     79.29
02:34:50 AM     all     15.21      0.00      3.59      0.86      0.29     80.06
02:34:51 AM     all     15.56      0.00      2.74      0.58      0.14     80.98
02:34:52 AM     all     17.04      0.00      2.82      0.56      0.42     79.15
02:34:53 AM     all     16.55      0.00      3.42      0.29      0.29     79.46
02:34:54 AM     all     12.57      0.00      3.00      0.71      0.29     83.43
02:34:55 AM     all     16.13      0.00      4.07      0.42      0.28     79.10
02:34:56 AM     all     15.62      0.00      2.72      0.57      0.29     80.80
02:34:57 AM     all     17.00      0.00      2.55      0.71      0.14     79.60
02:34:58 AM     all     16.45      0.00      2.55      0.57      0.28     80.14
02:34:59 AM     all     15.56      0.00      2.97      0.57      0.28     80.62
02:35:00 AM     all     16.17      0.00      2.55      0.71      0.14     80.43
02:35:01 AM     all     15.47      0.00      3.09      0.70      0.56     80.17
02:35:02 AM     all     16.43      0.00      3.12      0.71      0.14     79.60
02:35:03 AM     all     15.81      0.00      2.99      0.57      0.28     80.34
02:35:04 AM     all     16.17      0.00      2.72      0.57      0.29     80.26
02:35:05 AM     all     17.39      0.00      2.81      0.84      0.42     78.54
02:35:06 AM     all     13.46      0.00      3.65      0.84      0.28     81.77
02:35:07 AM     all     15.02      0.00      2.58      0.43      0.29     81.69
02:35:08 AM     all     16.22      0.00      3.67      0.56      0.28     79.27
02:35:09 AM     all     19.63      0.00      3.95      0.56      0.28     75.56
02:35:10 AM     all     24.36      0.00      4.70      1.14      0.28     69.52
02:35:11 AM     all     17.34      0.00      2.22      5.27      0.28     74.90
02:35:12 AM     all      0.13      0.00      0.00     11.93      0.13     87.81
02:35:13 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
02:35:14 AM     all      0.13      0.00      0.00     12.17      0.00     87.70
02:35:15 AM     all      0.00      0.00      0.00     12.19      0.00     87.81
02:35:16 AM     all      8.78      0.00      3.16     26.75      0.14     61.18
02:35:17 AM     all      8.34      0.00      4.65     24.21      0.27     62.52
02:35:18 AM     all     10.75      0.00      3.63     21.91      0.13     63.58
02:35:19 AM     all      7.57      0.00      1.22     24.86      0.27     66.08
02:35:20 AM     all     11.16      0.00      3.21     13.39      0.14     72.11
02:35:21 AM     all     15.12      0.00      1.85      0.29      0.29     82.45
02:35:22 AM     all     16.45      0.00      2.72      0.57      0.43     79.83
02:35:23 AM     all     13.88      0.00      2.15      0.57      0.29     83.12
02:35:24 AM     all     22.57      0.00      4.10      0.68      0.14     72.50
02:35:25 AM     all     12.93      0.00      2.41      0.57      0.43     83.66
02:35:26 AM     all     12.71      0.00      2.00      0.43      0.29     84.57
02:35:27 AM     all     13.19      0.00      1.84      0.57      0.43     83.97
02:35:28 AM     all     15.83      0.00      3.00      0.57      0.14     80.46
02:35:29 AM     all     15.74      0.00      2.86      0.57      0.43     80.40
02:35:30 AM     all     16.00      0.00      2.71      0.57      0.29     80.43
02:35:31 AM     all     16.10      0.00      2.71      0.57      0.43     80.20
02:35:32 AM     all     16.40      0.00      2.30      0.86      0.29     80.14
02:35:33 AM     all     14.41      0.00      2.59      0.58      0.43     81.99
