Linux 4.4.0-53-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

04:43:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:43:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:43:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:43:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:43:16 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
04:43:17 AM     all      0.12      0.00      0.12      0.12      0.00     99.63
04:43:18 AM     all     11.45      0.00      2.39      0.00      0.00     86.16
04:43:19 AM     all      4.63      0.00      8.26      0.00      0.00     87.11
04:43:20 AM     all      3.75      0.00      8.88      0.00      0.00     87.38
04:43:21 AM     all      3.75      0.00      8.76      0.00      0.00     87.48
04:43:22 AM     all      3.50      0.00      9.12      0.00      0.00     87.38
04:43:23 AM     all      9.99      0.00      9.10      0.00      0.13     80.78
04:43:24 AM     all     29.57      0.00     15.05      0.67      0.27     54.44
04:43:25 AM     all     38.98      0.00     14.78      0.67      0.13     45.43
04:43:26 AM     all     58.56      0.00     13.04      0.54      0.27     27.58
04:43:27 AM     all     43.50      0.00     13.69      0.81      0.27     41.73
04:43:28 AM     all     18.53      0.00     11.72      0.54      0.27     68.94
04:43:29 AM     all     18.28      0.00      4.97      0.67      0.27     75.81
04:43:30 AM     all     16.43      0.00      1.98      0.42      0.28     80.88
04:43:31 AM     all     14.80      0.00      3.07      0.56      0.28     81.28
04:43:32 AM     all     13.41      0.00      4.24      0.82      0.27     81.26
04:43:33 AM     all     15.53      0.00      3.88      0.55      0.28     79.75
04:43:34 AM     all     15.84      0.00      3.25      0.42      0.42     80.06
04:43:35 AM     all     16.11      0.00      3.89      0.56      0.28     79.17
04:43:36 AM     all     16.30      0.00      4.01      0.69      0.14     78.87
04:43:37 AM     all     16.32      0.00      3.73      0.55      0.28     79.11
04:43:38 AM     all     17.32      0.00      2.82      0.70      0.28     78.87
04:43:39 AM     all     16.39      0.00      3.22      0.70      0.28     79.41
04:43:40 AM     all     15.79      0.00      4.29      0.69      0.28     78.95
04:43:41 AM     all     13.93      0.00      4.10      0.55      0.27     81.15
04:43:42 AM     all     16.60      0.00      4.76      0.68      0.41     77.55
