Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

01:15:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:15:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:15:22 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
01:15:23 PM     all     10.37      0.00      1.64      0.00      0.13     87.86
01:15:24 PM     all      4.88      0.00      8.12      0.00      0.12     86.88
01:15:25 PM     all      4.49      0.00      8.23      0.12      0.00     87.16
01:15:26 PM     all      4.26      0.00      8.26      0.00      0.00     87.48
01:15:27 PM     all      3.88      0.00      8.65      0.00      0.00     87.47
01:15:28 PM     all      8.19      0.00      8.31      0.00      0.00     83.50
01:15:29 PM     all     34.78      0.00     12.36      0.14      0.27     52.45
01:15:30 PM     all     40.06      0.00     13.26      0.69      0.28     45.72
01:15:31 PM     all     46.37      0.00     13.41      0.55      0.27     39.40
01:15:32 PM     all     53.93      0.00     12.60      0.68      0.41     32.38
01:15:33 PM     all     44.90      0.00     12.93      0.54      0.27     41.36
01:15:34 PM     all     26.00      0.00      4.95      0.69      0.28     68.09
01:15:35 PM     all     13.51      0.00      2.42      0.71      0.43     82.93
01:15:36 PM     all     14.97      0.00      5.22      0.69      0.41     78.71
01:15:37 PM     all     17.33      0.00      4.95      0.83      0.28     76.62
01:15:38 PM     all     12.43      0.00      2.86      0.57      0.43     83.71
01:15:39 PM     all     12.77      0.00      2.44      0.86      0.57     83.36
01:15:40 PM     all     13.63      0.00      2.44      0.72      0.43     82.78
01:15:41 PM     all     13.53      0.00      1.29      0.86      0.29     84.03
01:15:42 PM     all     13.41      0.00      2.28      0.57      0.43     83.31
01:15:43 PM     all     13.48      0.00      3.51      0.70      0.56     81.74
01:15:44 PM     all     14.69      0.00      3.67      0.28      0.28     81.07
01:15:45 PM     all     15.83      0.00      1.87      0.43      0.43     81.44
01:15:46 PM     all     14.16      0.00      3.97      0.71      0.42     80.74
01:15:47 PM     all     14.59      0.00      3.79      0.70      0.42     80.50
01:15:48 PM     all     14.95      0.00      3.39      0.71      0.42     80.54
01:15:49 PM     all     14.62      0.00      4.18      0.56      0.28     80.36
01:15:50 PM     all     15.46      0.00      2.84      0.57      0.43     80.71
01:15:51 PM     all     19.33      0.00      5.46      0.70      0.42     74.09
01:15:52 PM     all     24.05      0.00      6.61      0.56      0.42     68.35
01:15:53 PM     all     18.30      0.00      4.54      8.37      0.28     68.51
01:15:54 PM     all     10.61      0.00      2.93     18.72      0.42     67.32
01:15:55 PM     all     11.72      0.00      4.04     18.41      0.28     65.55
01:15:56 PM     all     12.06      0.00      2.55     16.74      0.43     68.23
01:15:57 PM     all     11.71      0.00      3.72     16.25      0.28     68.04
01:15:58 PM     all     12.38      0.00      4.81     15.82      0.55     66.44
01:15:59 PM     all     11.62      0.00      2.90     10.65      0.28     74.55
01:16:00 PM     all     12.89      0.00      3.50      0.70      0.28     82.63
01:16:01 PM     all     14.37      0.00      3.07      0.70      0.42     81.45
01:16:02 PM     all     13.15      0.00      4.52      0.82      0.41     81.10
01:16:03 PM     all     14.83      0.00      2.97      0.85      0.28     81.07
01:16:04 PM     all     14.35      0.00      2.79      0.84      0.42     81.62
01:16:05 PM     all     15.10      0.00      1.71      0.71      0.28     82.19
01:16:06 PM     all     15.31      0.00      2.81      0.70      0.28     80.90
01:16:07 PM     all     15.08      0.00      1.71      0.71      0.43     82.08
01:16:08 PM     all     15.04      0.00      2.55      0.71      0.43     81.28
01:16:09 PM     all     14.73      0.00      2.12      0.71      0.42     82.01
01:16:10 PM     all     13.74      0.00      1.98      0.71      0.28     83.29
01:16:11 PM     all     12.40      0.00      4.68      7.71      0.28     74.93
01:16:12 PM     all      9.84      0.00      1.62     11.99      0.40     76.15
01:16:13 PM     all     15.41      0.00      2.00      0.71      0.43     81.46
01:16:14 PM     all     14.18      0.00      2.89      0.58      0.29     82.05
01:16:15 PM     all     15.04      0.00      2.29      0.57      0.43     81.66
01:16:16 PM     all     15.05      0.00      3.66      0.70      0.42     80.17
01:16:17 PM     all     14.39      0.00      2.73      0.58      0.43     81.87
01:16:18 PM     all     15.56      0.00      1.87      0.43      0.43     81.70
01:16:19 PM     all     15.40      0.00      2.73      0.86      0.43     80.58
01:16:20 PM     all     14.72      0.00      2.16      0.58      0.43     82.11
01:16:21 PM     all     14.24      0.00      3.02      0.58      0.29     81.87
01:16:22 PM     all     15.04      0.00      3.83      0.71      0.57     79.86
01:16:23 PM     all     14.45      0.00      2.58      0.86      0.29     81.83
01:16:24 PM     all     14.81      0.00      3.10      0.85      0.42     80.82
01:16:25 PM     all     15.38      0.00      2.42      0.71      0.43     81.05
01:16:26 PM     all     15.58      0.00      2.89      0.72      0.43     80.38
01:16:27 PM     all     15.49      0.00      3.38      0.85      0.28     80.00
01:16:28 PM     all     13.31      0.00      2.97      0.71      0.42     82.58
01:16:29 PM     all     14.57      0.00      2.16      0.58      0.43     82.25
01:16:30 PM     all     14.51      0.00      2.87      0.86      0.43     81.32
01:16:31 PM     all     15.95      0.00      2.28      0.71      0.57     80.48
01:16:32 PM     all     15.04      0.00      2.44      0.72      0.29     81.52
01:16:33 PM     all     14.00      0.00      4.00      0.71      0.29     81.00
01:16:34 PM     all     15.19      0.00      2.58      0.72      0.57     80.95
01:16:35 PM     all     14.71      0.00      3.14      0.71      0.43     81.00
01:16:36 PM     all     14.90      0.00      2.29      0.86      0.43     81.52
01:16:37 PM     all     14.95      0.00      3.81      0.85      0.42     79.97
01:16:38 PM     all     13.65      0.00      4.32      0.84      0.42     80.78
01:16:39 PM     all     15.54      0.00      2.40      0.85      0.28     80.93
01:16:40 PM     all     14.76      0.00      2.58      0.72      0.43     81.52
01:16:41 PM     all     14.65      0.00      2.70      0.57      0.28     81.79
01:16:42 PM     all     14.22      0.00      2.99      0.57      0.28     81.93
01:16:43 PM     all     14.77      0.00      2.41      0.71      0.28     81.82
01:16:44 PM     all     16.07      0.00      3.70      0.71      0.43     79.09
01:16:45 PM     all     13.32      0.00      2.72      0.72      0.43     82.81
01:16:46 PM     all     13.12      0.00      1.71      0.43      0.29     84.45
01:16:47 PM     all     14.91      0.00      1.85      1.28      0.43     81.53
01:16:48 PM     all      8.04      0.00      0.80     13.14      0.27     77.75
01:16:49 PM     all      4.71      0.00      0.65     13.35      0.13     81.15
01:16:50 PM     all      5.12      0.00      0.66     13.40      0.13     80.68
01:16:51 PM     all      5.04      0.00      1.19     13.53      0.13     80.11
01:16:52 PM     all      5.72      0.00      1.60     11.44      0.27     80.98
01:16:53 PM     all     14.74      0.00      2.43      0.43      0.43     81.97
01:16:54 PM     all     14.43      0.00      2.71      0.86      0.57     81.43
01:16:55 PM     all     14.39      0.00      2.88      0.58      0.29     81.87
01:16:56 PM     all     15.31      0.00      2.43      0.57      0.43     81.26
01:16:57 PM     all     15.19      0.00      2.58      0.72      0.43     81.09
