Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

03:37:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:37:09 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
03:37:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:37:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:37:12 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:37:13 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
03:37:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:37:15 PM     all      3.00      0.00      0.50      0.00      0.00     96.50
03:37:16 PM     all     10.96      0.00      5.79      0.00      0.00     83.25
03:37:17 PM     all      3.38      0.00      9.14      0.00      0.00     87.48
03:37:18 PM     all      3.62      0.00      9.00      0.00      0.00     87.38
03:37:19 PM     all      4.00      0.00      8.61      0.12      0.00     87.27
03:37:20 PM     all      4.63      0.00      8.01      0.00      0.00     87.36
03:37:21 PM     all     26.29      0.00     10.44      0.13      0.26     62.88
03:37:22 PM     all     36.23      0.00     13.36      0.69      0.28     49.45
03:37:23 PM     all     57.02      0.00     13.22      0.69      0.28     28.79
03:37:24 PM     all     24.96      0.00     12.13      0.85      0.28     61.78
03:37:25 PM     all     19.74      0.00     12.36      0.71      0.43     66.76
03:37:26 PM     all     29.69      0.00      7.28      0.70      0.28     62.04
03:37:27 PM     all     31.69      0.00      3.66      0.85      0.42     63.38
03:37:28 PM     all     14.27      0.00      2.40      0.71      0.28     82.34
03:37:29 PM     all     13.45      0.00      1.72      0.86      0.43     83.55
03:37:30 PM     all     13.46      0.00      2.97      0.71      0.42     82.44
03:37:31 PM     all     13.30      0.00      1.72      0.72      0.29     83.98
03:37:32 PM     all     12.73      0.00      2.29      0.72      0.43     83.83
03:37:33 PM     all     13.06      0.00      2.44      0.57      0.43     83.50
03:37:34 PM     all     13.22      0.00      2.30      0.72      0.43     83.33
03:37:35 PM     all     12.16      0.00      3.00      0.86      0.43     83.55
03:37:36 PM     all     13.49      0.00      2.01      0.72      0.43     83.36
03:37:37 PM     all     13.09      0.00      1.73      0.72      0.43     84.03
03:37:38 PM     all     12.89      0.00      2.15      0.72      0.43     83.81
03:37:39 PM     all     13.09      0.00      2.01      0.72      0.43     83.74
03:37:40 PM     all     12.99      0.00      1.88      0.72      0.43     83.98
03:37:41 PM     all     13.13      0.00      1.73      0.87      0.43     83.84
03:37:42 PM     all     13.26      0.00      1.87      0.72      0.29     83.86
03:37:43 PM     all     13.44      0.00      1.30      0.87      0.43     83.96
03:37:44 PM     all     14.10      0.00      1.44      0.72      0.43     83.31
03:37:45 PM     all     13.61      0.00      1.86      0.86      0.43     83.24
03:37:46 PM     all     12.55      0.00      3.14      0.71      0.43     83.17
03:37:47 PM     all     14.29      0.00      2.43      0.86      0.29     82.14
03:37:48 PM     all     12.68      0.00      2.16      0.72      0.58     83.86
03:37:49 PM     all     12.82      0.00      2.02      0.86      0.43     83.86
03:37:50 PM     all     12.64      0.00      2.59      0.72      0.43     83.62
03:37:51 PM     all     12.46      0.00      2.72      0.86      0.43     83.52
03:37:52 PM     all     13.45      0.00      2.00      0.86      0.14     83.55
03:37:53 PM     all     13.24      0.00      1.58      0.86      0.58     83.74
03:37:54 PM     all     13.06      0.00      2.01      1.00      0.57     83.36
03:37:55 PM     all     12.99      0.00      1.88      0.87      0.29     83.98
03:37:56 PM     all     12.82      0.00      2.31      0.86      0.58     83.43
03:37:57 PM     all     13.56      0.00      1.44      0.87      0.29     83.84
03:37:58 PM     all     12.75      0.00      2.83      0.99      0.57     82.86
03:37:59 PM     all     12.57      0.00      3.91      0.84      0.42     82.26
03:38:00 PM     all     12.99      0.00      1.88      0.72      0.29     84.13
03:38:01 PM     all     12.64      0.00      2.44      0.72      0.57     83.62
03:38:02 PM     all     12.84      0.00      2.16      0.87      0.29     83.84
03:38:03 PM     all     20.89      0.00      3.46      0.72      0.43     74.50
03:38:04 PM     all     13.97      0.00      7.26      6.44      0.41     71.92
03:38:05 PM     all      1.01      0.00     11.57     12.08      0.13     75.22
03:38:06 PM     all      5.80      0.00      8.18      9.50      0.00     76.52
03:38:07 PM     all     13.11      0.00      2.02      0.58      0.43     83.86
03:38:08 PM     all     12.99      0.00      1.88      0.87      0.29     83.98
03:38:09 PM     all     12.71      0.00      2.14      0.57      0.43     84.14
03:38:10 PM     all     12.96      0.00      1.99      0.71      0.43     83.90
03:38:11 PM     all     12.64      0.00      2.44      0.57      0.29     84.05
03:38:12 PM     all     13.18      0.00      1.86      0.86      0.57     83.52
03:38:13 PM     all     12.50      0.00      2.16      0.72      0.43     84.20
03:38:14 PM     all     12.39      0.00      2.45      0.72      0.29     84.15
03:38:15 PM     all     12.57      0.00      2.29      0.86      0.29     84.00
03:38:16 PM     all     13.00      0.00      1.57      0.71      0.29     84.43
03:38:17 PM     all     13.66      0.00      1.28      0.57      0.71     83.78
03:38:18 PM     all     13.21      0.00      2.41      0.99      0.43     82.95
03:38:19 PM     all     13.30      0.00      3.68      0.85      0.28     81.90
03:38:20 PM     all     12.59      0.00      2.58      0.86      0.29     83.69
03:38:21 PM     all     12.95      0.00      2.01      0.72      0.58     83.74
03:38:22 PM     all     12.91      0.00      2.30      0.86      0.43     83.50
03:38:23 PM     all     13.46      0.00      1.74      0.72      0.43     83.65
03:38:24 PM     all     13.11      0.00      1.87      0.72      0.43     83.86
03:38:25 PM     all     13.02      0.00      1.74      1.01      0.29     83.94
03:38:26 PM     all     12.70      0.00      2.57      0.71      0.43     83.59
03:38:27 PM     all     13.07      0.00      1.87      1.01      0.57     83.48
03:38:28 PM     all     13.01      0.00      1.88      0.87      0.29     83.96
03:38:29 PM     all     13.44      0.00      2.40      0.85      0.57     82.74
03:38:30 PM     all     12.48      0.00      2.58      0.86      0.29     83.79
03:38:31 PM     all     12.93      0.00      2.30      0.57      0.43     83.76
03:38:32 PM     all     13.07      0.00      2.44      1.01      0.43     83.05
03:38:33 PM     all     13.11      0.00      1.87      0.72      0.43     83.86
03:38:34 PM     all     12.91      0.00      2.15      0.86      0.43     83.64
03:38:35 PM     all     13.26      0.00      1.59      0.86      0.43     83.86
03:38:36 PM     all     13.26      0.00      1.87      0.72      0.43     83.72
03:38:37 PM     all     13.56      0.00      1.15      0.72      0.43     84.13
03:38:38 PM     all     13.67      0.00      1.73      0.72      0.43     83.45
03:38:39 PM     all     12.70      0.00      2.31      0.87      0.43     83.69
03:38:40 PM     all     13.01      0.00      2.02      0.87      0.43     83.67
03:38:41 PM     all     13.20      0.00      2.67      0.70      0.56     82.87
03:38:42 PM     all     12.39      0.00      2.71      0.85      0.28     83.76
03:38:43 PM     all     13.75      0.00      1.58      0.57      0.43     83.67
03:38:44 PM     all     12.93      0.00      2.16      0.86      0.43     83.62
03:38:45 PM     all     12.97      0.00      2.16      0.72      0.29     83.86
03:38:46 PM     all     13.71      0.00      1.71      0.71      0.43     83.43
03:38:47 PM     all     12.79      0.00      2.16      0.86      0.43     83.76
03:38:48 PM     all     12.93      0.00      1.87      0.86      0.57     83.76
03:38:49 PM     all     12.57      0.00      2.17      0.87      0.29     84.10
03:38:50 PM     all     13.32      0.00      1.72      0.72      0.43     83.81
03:38:51 PM     all     13.59      0.00      1.57      0.72      0.43     83.69
03:38:52 PM     all     13.09      0.00      1.73      0.86      0.43     83.88
03:38:53 PM     all     13.11      0.00      1.87      0.58      0.43     84.01
03:38:54 PM     all     12.22      0.00      3.27      0.85      0.43     83.24
03:38:55 PM     all     12.62      0.00      2.55      0.71      0.43     83.69
03:38:56 PM     all     12.75      0.00      2.44      0.72      0.43     83.67
03:38:57 PM     all     13.53      0.00      1.58      0.86      0.29     83.74
03:38:58 PM     all     13.26      0.00      1.73      0.58      0.58     83.86
03:38:59 PM     all     13.01      0.00      1.59      0.87      0.43     84.10
03:39:00 PM     all     12.80      0.00      3.23      0.84      0.28     82.84
03:39:01 PM     all     12.88      0.00      2.29      0.57      0.57     83.69
03:39:02 PM     all     13.37      0.00      1.99      0.85      0.43     83.36
03:39:03 PM     all     13.73      0.00      1.01      0.72      0.43     84.10
03:39:04 PM     all     13.26      0.00      2.45      0.58      0.43     83.29
03:39:05 PM     all     13.98      0.00      1.59      1.01      0.43     83.00
