Linux 4.4.0-57-generic (ip-172-31-13-35) 	12/28/2016 	_x86_64_	(8 CPU)

04:40:15 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:40:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:40:17 PM     all      0.00      0.00      0.12      0.00      0.00     99.88
04:40:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:40:19 PM     all     10.30      0.00      1.01      0.13      0.00     88.57
04:40:20 PM     all      4.14      0.00      8.77      0.00      0.00     87.09
04:40:21 PM     all      3.75      0.00      8.76      0.00      0.00     87.48
04:40:22 PM     all      4.62      0.00      8.00      0.00      0.00     87.38
04:40:23 PM     all      3.88      0.00      8.64      0.00      0.00     87.48
04:40:24 PM     all      4.89      0.00      8.91      0.00      0.00     86.20
04:40:25 PM     all     37.43      0.00     10.68      0.00      0.41     51.49
04:40:26 PM     all     53.10      0.00     10.48      0.00      0.28     36.14
04:40:27 PM     all     22.49      0.00     11.03      0.00      0.42     66.06
04:40:28 PM     all     17.84      0.00     11.07      0.00      0.28     70.82
04:40:29 PM     all     17.41      0.00     11.28      0.14      0.28     70.89
04:40:30 PM     all     17.48      0.00      2.36      0.00      0.28     79.89
04:40:31 PM     all     11.67      0.00      2.92      0.00      0.14     85.28
04:40:32 PM     all     11.82      0.00      2.50      0.00      0.42     85.26
04:40:33 PM     all     12.31      0.00      1.96      0.00      0.42     85.31
04:40:34 PM     all     13.06      0.00      1.54      0.00      0.28     85.11
04:40:35 PM     all     12.81      0.00      2.37      0.00      0.42     84.40
04:40:36 PM     all     13.43      0.00      1.68      0.00      0.42     84.48
04:40:37 PM     all     12.73      0.00      1.68      0.00      0.28     85.31
04:40:38 PM     all     12.06      0.00      1.96      0.00      0.42     85.55
04:40:39 PM     all     12.59      0.00      1.68      0.00      0.42     85.31
04:40:40 PM     all     13.15      0.00      1.68      0.00      0.28     84.90
04:40:41 PM     all     12.50      0.00      1.83      0.00      0.14     85.53
04:40:42 PM     all     12.15      0.00      1.96      0.00      0.56     85.34
04:40:43 PM     all     12.89      0.00      1.54      0.00      0.28     85.29
04:40:44 PM     all     12.89      0.00      1.96      0.00      0.14     85.01
04:40:45 PM     all     12.87      0.00      1.54      0.00      0.56     85.03
04:40:46 PM     all     12.03      0.00      2.38      0.00      0.42     85.17
04:40:47 PM     all     13.87      0.00      2.38      0.00      0.28     83.47
04:40:48 PM     all     12.20      0.00      1.96      0.00      0.28     85.55
04:40:49 PM     all     11.59      0.00      2.65      0.00      0.14     85.61
04:40:50 PM     all     11.50      0.00      2.63      0.00      0.55     85.32
04:40:51 PM     all     12.12      0.00      2.51      0.00      0.28     85.10
04:40:52 PM     all     12.06      0.00      2.10      0.00      0.14     85.69
04:40:53 PM     all     12.45      0.00      1.96      0.00      0.42     85.17
04:40:54 PM     all     12.46      0.00      1.54      0.00      0.56     85.43
04:40:55 PM     all     12.48      0.00      1.82      0.00      0.28     85.41
04:40:56 PM     all     12.03      0.00      2.38      0.14      0.28     85.17
04:40:57 PM     all     12.75      0.00      1.96      0.00      0.42     84.87
04:40:58 PM     all     12.57      0.00      1.82      0.00      0.42     85.20
04:40:59 PM     all     12.36      0.00      1.97      0.00      0.42     85.25
04:41:00 PM     all     12.24      0.00      1.81      0.00      0.14     85.81
04:41:01 PM     all     12.17      0.00      1.96      0.00      0.42     85.45
04:41:02 PM     all     12.45      0.00      1.82      0.00      0.42     85.31
04:41:03 PM     all     12.29      0.00      1.84      0.00      0.28     85.59
04:41:04 PM     all     12.31      0.00      1.96      0.00      0.42     85.31
04:41:05 PM     all     12.32      0.00      1.82      0.00      0.42     85.43
04:41:06 PM     all     12.75      0.00      1.54      0.00      0.28     85.43
04:41:07 PM     all     11.67      0.00      2.39      0.00      0.00     85.94
04:41:08 PM     all     13.07      0.00      1.39      0.00      0.70     84.84
04:41:09 PM     all     12.53      0.00      1.81      0.00      0.42     85.24
04:41:10 PM     all     12.62      0.00      1.82      0.00      0.28     85.27
04:41:11 PM     all     12.61      0.00      1.40      0.00      0.42     85.57
04:41:12 PM     all     12.43      0.00      1.82      0.00      0.42     85.34
04:41:13 PM     all     12.80      0.00      1.27      0.00      0.28     85.65
04:41:14 PM     all     13.32      0.00      1.26      0.00      0.28     85.13
04:41:15 PM     all     12.73      0.00      1.68      0.00      0.42     85.17
04:41:16 PM     all     12.59      0.00      1.68      0.14      0.28     85.31
04:41:17 PM     all     12.50      0.00      1.54      0.00      0.28     85.67
04:41:18 PM     all     12.15      0.00      2.09      0.00      0.42     85.34
04:41:19 PM     all     12.13      0.00      1.97      0.00      0.42     85.47
04:41:20 PM     all     13.08      0.00      1.69      0.00      0.00     85.23
04:41:21 PM     all     12.13      0.00      2.09      0.00      0.70     85.08
04:41:22 PM     all     12.99      0.00      1.54      0.00      0.28     85.20
04:41:23 PM     all     12.46      0.00      1.68      0.00      0.42     85.43
04:41:24 PM     all     12.45      0.00      2.10      0.00      0.42     85.03
04:41:25 PM     all     12.62      0.00      1.54      0.00      0.28     85.55
04:41:26 PM     all     12.99      0.00      1.40      0.00      0.42     85.20
04:41:27 PM     all     11.66      0.00      2.39      0.00      0.28     85.67
04:41:28 PM     all     12.97      0.00      1.39      0.00      0.42     85.22
04:41:29 PM     all     12.94      0.00      1.69      0.00      0.28     85.09
04:41:30 PM     all     12.36      0.00      1.97      0.00      0.28     85.39
04:41:31 PM     all     12.69      0.00      1.41      0.00      0.14     85.75
04:41:32 PM     all     12.94      0.00      1.13      0.00      0.42     85.51
04:41:33 PM     all     12.85      0.00      1.41      0.00      0.00     85.73
04:41:34 PM     all     12.53      0.00      1.67      0.00      0.97     84.82
04:41:35 PM     all     12.62      0.00      1.68      0.00      0.14     85.55
04:41:36 PM     all     12.89      0.00      1.68      0.00      0.56     84.87
04:41:37 PM     all     12.48      0.00      1.82      0.00      0.28     85.41
04:41:38 PM     all     12.45      0.00      1.82      0.00      0.42     85.31
04:41:39 PM     all     12.78      0.00      2.25      0.00      0.00     84.97
04:41:40 PM     all     12.38      0.00      1.53      0.00      0.42     85.67
04:41:41 PM     all     11.96      0.00      2.23      0.00      0.00     85.81
04:41:42 PM     all     11.63      0.00      2.63      0.00      0.83     84.90
04:41:43 PM     all     11.90      0.00      2.24      0.14      0.14     85.57
04:41:44 PM     all     12.17      0.00      2.10      0.00      0.42     85.31
04:41:45 PM     all     12.45      0.00      1.68      0.00      0.56     85.31
04:41:46 PM     all     12.45      0.00      1.96      0.00      0.28     85.31
04:41:47 PM     all     13.15      0.00      1.40      0.00      0.42     85.03
04:41:48 PM     all     11.45      0.00      2.65      0.00      0.14     85.75
04:41:49 PM     all     11.65      0.00      2.36      0.00      0.42     85.58
04:41:50 PM     all     12.17      0.00      1.96      0.00      0.42     85.45
04:41:51 PM     all     12.36      0.00      1.83      0.00      0.28     85.53
04:41:52 PM     all     12.10      0.00      2.11      0.14      0.28     85.37
04:41:53 PM     all     12.61      0.00      1.68      0.00      0.42     85.29
04:41:54 PM     all     12.15      0.00      2.23      0.00      0.42     85.20
04:41:55 PM     all     11.94      0.00      2.11      0.00      0.28     85.67
04:41:56 PM     all     12.78      0.00      1.26      0.00      0.28     85.67
04:41:57 PM     all     12.71      0.00      1.68      0.00      0.42     85.20
04:41:58 PM     all     12.46      0.00      1.68      0.00      0.42     85.43
04:41:59 PM     all     12.76      0.00      1.82      0.00      0.28     85.13
04:42:00 PM     all     12.22      0.00      2.36      0.00      0.28     85.14
04:42:01 PM     all     12.43      0.00      1.82      0.00      0.56     85.20
04:42:02 PM     all     12.57      0.00      1.96      0.00      0.28     85.20
